Developer,Country,Year_of_Establishment
ZiMAG,Unknown,Unknown
Arcade Moon,Unknown,Unknown
Cheshire Engineering,Unknown,Unknown
Digiplay,Brazil,Unknown
Attention To Detail,United Kingdom of Great Britain and Northern Ireland,1988
Firemint,Australia,Unknown
Big Blue Bubble,Canada,Unknown
Acclaim Studios Teesside,Unknown,Unknown
Venan Entertainment,Unknown,Unknown
HotGen,United Kingdom of Great Britain and Northern Ireland,Unknown
"Vicious Cycle Software, Inc.",Unknown,Unknown
indies zero,Unknown,Unknown
Nintendo EAD Tokyo Software Development Group No.2,Japan,2003
Scholastic,Unknown,Unknown
Sega Rosso,Japan,2000
GameMill Entertainment,United States of America,2001
MumboJumbo,United States of America,2001
GameHouse,United States of America,1998
Ubisoft Vancouver,Canada,2006
Pronto Games,Unknown,Unknown
Last Day of Work,United States of America,2002
Ilinx Corporation,Japan,2010
Marvelous Entertainment Inc.,Unknown,Unknown
Digital Media Lab Inc.,Unknown,Unknown
Acclaim Studios London,United Kingdom of Great Britain and Northern Ireland,1984
Prokion,Unknown,Unknown
Nintendo SPD Production Group No. 3,Japan,2003
Just Add Water,United Kingdom of Great Britain and Northern Ireland,2006
SNK Neogeo USA Consumer,Unknown,Unknown
Noise Factory,Unknown,Unknown
Team OX,Japan,1997
Crispy's!,Japan,2006
Gamecock Media Group,Unknown,Unknown
Studio 33,Unknown,Unknown
NEC Avenue,Unknown,Unknown
DMM GAMES,Japan,2018
DiGination,Unknown,Unknown
Mitchell Corporation,Unknown,Unknown
Cyanide Studio,France,2000
Dimension Interactive,United States of America,Unknown
Random Games,Unknown,Unknown
Little Orbit,United Kingdom of Great Britain and Northern Ireland,Unknown
FuRyu,Japan,2007
Digital Images,Unknown,Unknown
Coderus,Unknown,Unknown
"Asylum Entertainment Ltd.,",Unknown,Unknown
inXile Entertainment,United States of America,2002
2015,United States of America,1997
Tornado Studios,United States of America,Unknown
Stainless Games,United Kingdom of Great Britain and Northern Ireland,1993
Pocket Games,Hungary,Unknown
ZootFly,Slovenia,2002
Blue Byte,Germany,1988
Ocean,Unknown,Unknown
Xing,Japan,2000
Gungho Games,Unknown,Unknown
U.S. Army,Unknown,Unknown
Collision Studios,United States of America,Unknown
Black Bean Games,Unknown,Unknown
Data Design Interactive,Unknown,Unknown
WayForward,United States of America,1990
Skybound Games,United States of America,2010
Handheld Games,Unknown,Unknown
Nihon Falcom,Japan,1981
Joyoland,Unknown,Unknown
Metro Corporation,Unknown,Unknown
BreakAway Games,Unknown,Unknown
ValuSoft,United States of America,1997
Aurona,Unknown,Unknown
Flight-Plan,Unknown,Unknown
Felistella,Unknown,Unknown
Skip Ltd.,Unknown,Unknown
Independent Arts Software,Germany,1990
Lucky Chicken Games,Unknown,Unknown
h.a.n.d. Inc.,Unknown,Unknown
Sammy Corporation,Japan,1975
Iguana Entertainment UK,Unknown,Unknown
Destineer Publishing Corp.,Unknown,Unknown
cerasus.media,Germany,Unknown
Awem Studio,Belarus,2002
iWin,United States of America,2001
K/O Paper Products,Unknown,Unknown
CBS Studios,Unknown,Unknown
Bad Robot Interactive,United States of America,Unknown
Nautilus,Unknown,Unknown
Aruze,Unknown,Unknown
Abstraction Games,"Netherlands, Kingdom of the",2007
Sugar and Rockets,Unknown,Unknown
King of the Jungle,Sweden,1995
Spiders,France,2008
Oxygen Interactive Software,United Kingdom of Great Britain and Northern Ireland,2001
Red Ant Enterprises,Unknown,Unknown
Mere Mortals,United Kingdom of Great Britain and Northern Ireland,1999
Surge,United States of America,2008
Revolution Software,United Kingdom of Great Britain and Northern Ireland,1990
Snowball Studios,Unknown,Unknown
"D3Publisher of America, Inc.",Unknown,Unknown
Blue Shift Inc,Unknown,Unknown
Exile Interactive,Unknown,Unknown
Bergsala Lightweight,Unknown,Unknown
CokeM Interactive,Unknown,Unknown
Sega Amusements International,United Kingdom of Great Britain and Northern Ireland,1983
QVS International,Unknown,Unknown
CyberFront Korea,Unknown,Unknown
Gusto Games,Unknown,Unknown
Magic Pixel Games,Unknown,Unknown
DreamCatcher Interactive,Canada,1996
Fall Line Studios,Unknown,Unknown
The Omni Group,Unknown,Unknown
Takara Tomy,Japan,2006
Seibu Kaihatsu,Unknown,Unknown
Nihon System,Japan,1986
"Marvelous USA, Inc.",Unknown,Unknown
Megatoon Studios,Unknown,Unknown
Bits Studios,Unknown,Unknown
Piranha Bytes,Germany,1997
Uber Entertainment,United States of America,2008
Gunfire Games,United States of America,2014
Comcept,Japan,Unknown
Ntreev Soft,Unknown,Unknown
CLICK Entertainment,Unknown,Unknown
Monumental Games,Unknown,Unknown
Dream on Studio,Unknown,Unknown
Virgin Play,Unknown,Unknown
Career Soft,Japan,1996
Virtucraft Studios,Unknown,Unknown
Pseudo Interactive,Unknown,Unknown
Rhino Studios,Unknown,Unknown
Konami Computer Entertainment Osaka,Japan,1995
Jumpin' Jack Software,Unknown,Unknown
C's ware,Unknown,Unknown
Blitz Games Studios,Unknown,Unknown
Yoostar Entertainment Group,Unknown,Unknown
Digital Fiction,Unknown,Unknown
MASA Group,Unknown,Unknown
Koei Tecmo America Corporation,United States of America,2010
Koei Tecmo Europe,United Kingdom of Great Britain and Northern Ireland,2009
Swordfish Studios,United Kingdom of Great Britain and Northern Ireland,2002
ThatGameCompany,United States of America,2006
Pioneer LDC,Japan,1989
HAMSTER,Japan,1999
Chillingo,Unknown,Unknown
Hasbro,United States of America,1923
Deep Silver Vienna,Unknown,Unknown
"Gunnar Games, Inc.",Unknown,Unknown
Undead Labs,United States of America,2009
Midnight City,United States of America,Unknown
2XL Games,United States of America,Unknown
Legend Entertainment,United States of America,1989
NAMCO BANDAI Games Inc.,Unknown,Unknown
Brasoft Produtos de Informática,Unknown,Unknown
Syfy Kids,Unknown,Unknown
Jellyvision Games,United States of America,2008
Jackbox Games,United States of America,2011
"Creat Studios, Inc.",Unknown,1990
BongFish,Austria,2007
Production I.G,Unknown,Unknown
Disruptive Games,United States of America,Unknown
Alpha Unit Corporation,Japan,1995
A.I,Unknown,Unknown
Nelvana,Unknown,Unknown
PlayFirst,United States of America,2004
Glu Mobile,United States of America,2001
ImagineEngline,Unknown,Unknown
CCP Games,Iceland,1997
Major A,Unknown,Unknown
D2C Games,Unknown,Unknown
Bones,Unknown,Unknown
Floodgate Entertainment,Unknown,Unknown
Widescreen Games,Unknown,Unknown
Million,Unknown,Unknown
Shokwave,Unknown,Unknown
Namco Bandai Games Europe S.A.S.,Unknown,Unknown
Nude Maker,Japan,Unknown
Sarbakan,Unknown,Unknown
Hyper-Devbox Japan,Unknown,Unknown
Zono Inc.,Unknown,Unknown
Supersonic Software,Unknown,Unknown
Cyberlore Studios,United States of America,1992
Arush Entertainment,Unknown,Unknown
Groove Games,Unknown,Unknown
Examu,Japan,1999
Laughing Jackal,Unknown,Unknown
MC2 France,France,Unknown
Reef Entertainment,Unknown,Unknown
MC2-Microïds,Unknown,Unknown
5pb.,Japan,2005
JAST USA,United States of America,1996
MAGES.,Japan,2011
NITRO PLUS,Japan,2000
RFX Interactive,France,Unknown
Pawapuro Production,Unknown,Unknown
ITL,Unknown,Unknown
NK System,Unknown,Unknown
Interplay Productions,United States of America,1983
Parallax Software,Unknown,1993
Liquid Entertainment,United States of America,1999
Nordcurrent,Lithuania,2002
Phoenix Games Studios,Unknown,Unknown
Daoka,Unknown,Unknown
"SSI (Strategic Simulations, Inc.)",United States of America,1979
Project Just,Unknown,Unknown
SNK Playmore USA,Unknown,Unknown
Trickster Games,Unknown,Unknown
CTW Software Group,Unknown,Unknown
Vic Tokai,Japan,1977
Dream Factory,Unknown,Unknown
Media Rings,Unknown,Unknown
O-Games,Unknown,Unknown
Most Wanted Entertainment,Unknown,Unknown
Santa Cruz games,Unknown,Unknown
Backbone Emeryville,Unknown,Unknown
Spielkind,Germany,7
bitComposer Interactive,Unknown,Unknown
BottleRocket Entertainment,Unknown,Unknown
Together Team,Unknown,Unknown
Game Sauce,Unknown,Unknown
Accolade,United States of America,1984
Cinemaware,Unknown,Unknown
Metro3D,United States of America,1998
bitComposer Games,Germany,2009
KalypsoMediaGroup,Unknown,Unknown
Koei Canada,Unknown,Unknown
JoWooD Entertainment AG,Austria,1995
Spellbound Entertainment,Germany,1994
Trinigy,Germany,Unknown
Superscape,Unknown,Unknown
505 Game Street,Unknown,Unknown
Marucome,Unknown,Unknown
Ubisoft Osaka,Japan,2018
Team Dead or Alive,Unknown,Unknown
Escape Co. Ltd.,Japan,1998
Teyon,Poland,2006
Project Siren,Japan,1999
Gunnar Games,United States of America,1997
"Sound Source Interactive, Inc.",United States of America,1988
Mobile21,Unknown,Unknown
Mad Doc Software,United States of America,1999
Kronos Digital Entertainment,United States of America,1992
Gathering,Unknown,Unknown
Team GrisGris,Japan,Unknown
NaturalMotion,Unknown,Unknown
Plug In Digital,France,2012
AI,Unknown,Unknown
Love-de-Lic,Unknown,Unknown
We Go Interactive Co. Ltd,"Korea, Republic of",2009
Big Bit Ltd,United Kingdom of Great Britain and Northern Ireland,2011
Tsunami Visual Technologies,Unknown,Unknown
Capybara Games,Canada,2003
Tag Games,United Kingdom of Great Britain and Northern Ireland,Unknown
Opus Corp.,Unknown,Unknown
Craveyard Studios,United States of America,1998
Pyro Studios,Spain,1996
MagicIndie,"Moldova, Republic of",Unknown
Viva Media,United States of America,1999
Adrenalin Entertainment,Unknown,Unknown
Adrenalin Interactive,Unknown,Unknown
THQ International,Unknown,Unknown
Lost Toys,Unknown,Unknown
OneNine Studios,Unknown,Unknown
Gogii Games,Canada,2006
21 rocks,Unknown,Unknown
Deep Fried Entertainment,Unknown,Unknown
Silicon Dreams Studios,United Kingdom of Great Britain and Northern Ireland,1994
Lego Software,Unknown,Unknown
Replay Studios,Germany,Unknown
Project Venus,Unknown,Unknown
Team Dakota,Unknown,Unknown
Cellius,Unknown,Unknown
SimBin,Sweden,Unknown
Adeline Software International,France,1993
Beamdog,Canada,Unknown
Nexece,Japan,Unknown
Mistic Software,Canada,1997
Gaibrain,Unknown,Unknown
Indie Built,United States of America,2004
Ignition Banbury,Unknown,Unknown
Vatical Entertainment,Unknown,Unknown
Panther Software,Unknown,Unknown
EM Studios,Unknown,Unknown
Chicago Gaming,Unknown,Unknown
Experience Inc.,Japan,2007
Shogakukan Production,Unknown,Unknown
Kylotonn Games,France,2002
Stalker Entertainment,Unknown,Unknown
Wiz Technology,United States of America,1991
Apogee Software,United States of America,1987
"Infinity Co., Ltd.",Unknown,Unknown
Powerslave Software,Unknown,Unknown
Renegade Kid,United States of America,2007
Interchannel-Holon,Japan,2006
Dusenberry Martin Racing,Unknown,Unknown
Human Soft,Unknown,Unknown
Saru Brunei,Japan,1996
Game Life,Unknown,Unknown
Online Entertainment R&D,Japan,Unknown
AsiaSoft,Unknown,Unknown
Lionbridge Technologies,Unknown,Unknown
Lucas Learning,United States of America,1996
Popcorn Arcade,Unknown,Unknown
Ecole Software,Japan,1989
French Bread,Japan,2002
Firefly Studios,United Kingdom of Great Britain and Northern Ireland,1999
Elastic,Unknown,Unknown
Virtual Play Games,Unknown,Unknown
Omiya Soft,Japan,1993
Jamsworks,Unknown,Unknown
Aques,Japan,1997
Ocean of America,Unknown,Unknown
Lab42 Games,United Kingdom of Great Britain and Northern Ireland,2007
Red Wagon Games,Unknown,Unknown
Ringtail Studios,Unknown,Unknown
imadio,Unknown,Unknown
Konami Computer Entertainment Kobe,Japan,1998
Telegames,United States of America,1986
Carbine Studios,United States of America,2005
Glyphic Entertainment,Unknown,Unknown
Acid Software,Unknown,Unknown
Vivid Image,Unknown,Unknown
"Tabot, Inc.",Japan,2007
Yuki Enterprise,Japan,2000
N-Fusion Interactive,United States of America,Unknown
Taniko,Unknown,Unknown
Origin Systems,United States of America,1983
Lion Entertainment,Unknown,Unknown
New Level Software,Unknown,Unknown
Digital Leisure,Canada,1997
Happy Happening,Unknown,Unknown
Aquaplus,Unknown,Unknown
Climax Entertainment,Japan,1990
Croteam,Croatia,1993
Sony Music Entertainment Japan,Japan,1991
guyzware,Japan,2006
Tommo Inc,Unknown,Unknown
DoubleTap Games,Unknown,Unknown
Media Factory,Unknown,Unknown
TechFront Studios,Unknown,Unknown
eGames,United States of America,1992
Sandlot Games,Unknown,Unknown
Guilti,Unknown,Unknown
Degica Games,Japan,2005
Universal Pictures,Unknown,Unknown
Daedalic Entertainment,Germany,2007
Daedalic Studio West,Unknown,Unknown
The Adventure Company,Canada,2002
JoWooD Productions Software,Austria,1995
HB Studios Multimedia Ltd.,Unknown,Unknown
Her Interactive,United States of America,1995
ScriptArts,Unknown,Unknown
BANDAI NAMCO Games Inc,Unknown,Unknown
Netherock Ltd.,Unknown,Unknown
Illusions Gaming Company,Unknown,1993
Gaijinworks,United States of America,2006
Sammy,Unknown,Unknown
Sick Puppies,Unknown,Unknown
Wanadoo Edition,France,2000
Ludifactory,Unknown,Unknown
The Harvey Entertainment Company,Unknown,Unknown
Kheops Studio,France,Unknown
Sierra,Unknown,2014
Bandai Namco Entertainment Inc.,Unknown,Unknown
System Prisma,Unknown,Unknown
Broccoli,Japan,1994
Mixmax,United Kingdom of Great Britain and Northern Ireland,Unknown
Hudson Entertainment,United States of America,2003
M4 Ltd.,Unknown,Unknown
Fujitsu,Unknown,Unknown
Epics,Japan,2006
Zuxxez Entertainment,Germany,2000
Xing Entertainment,Japan,Unknown
Bohemia Interactive Studio,Czechia,1999
Got Game Entertainment,United States of America,Unknown
Paradox Interactive,Sweden,1998
Colossal Order,Finland,2016
Nazca Corporation,Japan,1994
Yacht Club Games,United States of America,2011
Arc Entertainment,Unknown,Unknown
Seven45 Studios,Unknown,Unknown
Tamtam,Unknown,Unknown
ASK Homework,Hungary,Unknown
Village1 Entertainment,Unknown,Unknown
Swing! Entertainment Media,Germany,2000
Fireaxis Games,Unknown,Unknown
The Fun Pimps,United States of America,2012
Hit Maker,Unknown,Unknown
Turn Me Up Games,Unknown,Unknown
Irem Corporation,Unknown,Unknown
Kokopeli Digital Studios,United States of America,1995
Ubi Soft Studios SRL,Italy,1998
Ubi Soft Entertainment,France,1986
Gaijin Games,United States of America,2008
All Interactive Distributuion,Unknown,Unknown
"DC Studios, Inc.",Unknown,Unknown
"Disney Interactive, Inc.",Unknown,Unknown
Tripwire Interactive,United States of America,2005
JV Games,United States of America,Unknown
Top Heavy Studios,Unknown,Unknown
7th Sense,Unknown,Unknown
Frame Studios,Unknown,Unknown
Soliton,Unknown,Unknown
Marionette,Unknown,Unknown
ChinaAVG,Unknown,Unknown
DreamCatcher Games,Unknown,Unknown
Humongous Inc,United States of America,1992
Global A Entertainment,Unknown,Unknown
ZeroDiv,Unknown,Unknown
Sunflowers Interactive Entertainment Software,Unknown,Unknown
Sega CS1,Unknown,Unknown
GamesCafe,Unknown,Unknown
Real Networks,Unknown,Unknown
VR1 Entertainment,United States of America,Unknown
Mad Monkey Studio,Unknown,Unknown
SLAM Productions,United Kingdom of Great Britain and Northern Ireland,2007
Sandblast Games,Unknown,Unknown
Phosphor,Unknown,Unknown
ZOO Digital Publishing Ltd,Unknown,Unknown
Slam Games,Unknown,Unknown
Platinum Egg,Unknown,Unknown
Crea-Tech,Japan,1988
Dancing Dots,Unknown,Unknown
Attention Software,Unknown,Unknown
Premium Agency,Japan,2003
Ubisoft Blue Byte,Germany,2017
Sting,Unknown,Unknown
Candle Light Studios,Unknown,Unknown
Telstar Electronic Studios Ltd.,Unknown,Unknown
GlyphX Games,Unknown,Unknown
Monkey Gods,Unknown,Unknown
Snood World,Unknown,Unknown
David M. Dobson,Unknown,Unknown
Dreamhive,Unknown,Unknown
Naked Sky Entertainment,United States of America,Unknown
Lego Interactive,Unknown,Unknown
ELF,Unknown,Unknown
"The Neverhood, Inc.",Unknown,1996
Sylum Entertainment,Unknown,Unknown
Curly Monsters,Unknown,Unknown
Ubisoft Nagoya,Unknown,Unknown
3d6 Games,United States of America,1999
CAVE Interactive CO,Unknown,Unknown
"GOSHOW, Inc.",Unknown,Unknown
Future Creates,Japan,Unknown
WindySoft,Unknown,Unknown
Psikyo,Unknown,Unknown
Digital Illusions,Sweden,1992
i-Dreamsoft,Unknown,Unknown
Virgin Entertainment,Unknown,Unknown
Mighty Rocket Studios,Unknown,Unknown
(Archive) Ubi Soft,Unknown,Unknown
Super X,Unknown,Unknown
Wizards of the Coast LLC,Unknown,Unknown
Tamsoft Corporation,Unknown,Unknown
Beep Industries,United States of America,Unknown
I-Imagine,South Africa,Unknown
Nunchuck Games,Unknown,Unknown
Kung Fu Factory,United States of America,Unknown
Novotrade,Hungary,1982
Infogrames Lyon House,Unknown,Unknown
Sabarasa Entertainment,Argentina,1996
VIS Interactive,United Kingdom of Great Britain and Northern Ireland,1996
Toka,France,Unknown
Indianapolis 500,Unknown,Unknown
Wicked Witch Software,Australia,2001
Acclaim Studios Manchester,Unknown,Unknown
Crave,Unknown,Unknown
Witch Craft,Unknown,Unknown
MindSpan,Unknown,Unknown
SPS,Unknown,Unknown
Cygnus Studios,Unknown,1994
"MOSS Co., Ltd.",Japan,1993
Raw Thrills,United States of America,2001
Kadokawa Corporation,Japan,1954
Actualize,Unknown,Unknown
Magnetic Fields,United Kingdom of Great Britain and Northern Ireland,1988
Creative Asylum,Unknown,Unknown
369 Interactive,Unknown,Unknown
EPCConnect,Unknown,Unknown
Tiertex,Unknown,Unknown
U.S. Gold,United Kingdom of Great Britain and Northern Ireland,1984
Pandora Box Creative Office,Unknown,Unknown
NDA Productions,Unknown,Unknown
Animation Arts,Germany,Unknown
Maximum Family Games,Unknown,Unknown
Bigben Interactive,France,1981
ToeJam & Earl Productions,Unknown,Unknown
Razorback Developments,Unknown,Unknown
Immersion Games,Unknown,Unknown
Artificial Studios,Unknown,Unknown
Xplosiv,Unknown,Unknown
Gainax,Unknown,Unknown
Gainax Network Systems,Unknown,Unknown
Bitbaboon,Unknown,Unknown
BrightLight,Unknown,Unknown
Mega Enterprise,Unknown,Unknown
BrezzaSoft,Unknown,Unknown
Screaming Games,Unknown,Unknown
Lavastorm,Unknown,Unknown
Shiravune,Japan,2020
WorkJam,Unknown,Unknown
Trickstar Games,Unknown,Unknown
"Santa Entertainment co. , LTD.",Japan,1997
Astraware,Unknown,Unknown
Binoteq Software,Unknown,Unknown
ThreePenny Software,Unknown,Unknown
Radon Labs,Germany,Unknown
Meteorise,Japan,2010
SETA Corporation,Unknown,Unknown
System Sacom,Japan,1981
Racdym,Japan,1995
Japan System Supply,Japan,1985
Codemasters Guildford,United Kingdom of Great Britain and Northern Ireland,2007
07th Expansion,Japan,Unknown
Alchemist,Japan,1998
Xicat Interactive,Unknown,Unknown
Bionic Games,Unknown,Unknown
Yanoman,Japan,1959
Amanita Design,Czechia,2003
WAVEDGE,Unknown,Unknown
BeeWorks,Unknown,Unknown
Redoubt,Unknown,Unknown
Nippon Computer Systems,Unknown,Unknown
Masaya Games,Unknown,Unknown
GameBank,Unknown,Unknown
Snowed In Studios,Canada,Unknown
Straight Right,Unknown,Unknown
UNiT,Japan,Unknown
Neverland Co.,Unknown,Unknown
Ingram Entertainment,United States of America,1980
Zed Two,Unknown,Unknown
Pentavision,Unknown,Unknown
PM Studios,United States of America,2008
OUAT Entertainment,France,Unknown
Creative Reality,United Kingdom of Great Britain and Northern Ireland,Unknown
Coyote Developments,Unknown,Unknown
Game Invest,Unknown,Unknown
Panasonic Software Company,Unknown,Unknown
Rozner Labs Software Group,United States of America,1993
WARP,Japan,1994
Nightdive Studios,United States of America,2012
San-eishobo Publishing,Unknown,Unknown
King Art,Germany,2000
HMH Interactive,Unknown,Unknown
Brainbox Games,Unknown,Unknown
Playmore,Japan,2001
Microïds Canada,Canada,1999
Microïds,France,1985
Koalabs Studio,France,Unknown
Tetraedge Games,Unknown,Unknown
Microids,France,2000
Meridian4,Canada,2004
Titus Interactive,France,1999
Petroglyph Games,United States of America,2003
ASCII Media Works,Japan,2008
Climax Graphics,Japan,1996
Digital Mayhem,Unknown,Unknown
Shiver Entertainment,United States of America,2012
Sierra Attractions,United States of America,1998
UFO Interactive Games,Unknown,Unknown
Clockwork Games Limited,Unknown,Unknown
O3 Entertainment,Unknown,Unknown
The Behemoth,United States of America,2003
Blade Interactive,Unknown,Unknown
Player 1,United States of America,1995
"GameTek, Inc.",Unknown,Unknown
H2O Interactive,Canada,1994
Celeris,United States of America,1987
Culture Brain,Unknown,Unknown
Hoplite Research,Unknown,2001
VRIDGE,Japan,2000
Koolhaus Games,Unknown,Unknown
Nai'a Digital Works,Unknown,Unknown
Gamenauts,Unknown,Unknown
Real Arcade,Unknown,Unknown
London Studio,Unknown,Unknown
Zoë Mode,Unknown,Unknown
Namco Bandai Europe,Unknown,Unknown
Loose Cannon Studios,United States of America,2005
Hammerhead,Unknown,Unknown
Floor 84 Studio,Unknown,Unknown
Scientifically Proven,Unknown,Unknown
IR Gurus,Unknown,Unknown
Klein Computer Entertainment,Unknown,Unknown
Vega Mobile,Unknown,Unknown
8monkey Labs,Unknown,Unknown
Phantom EFX,United States of America,Unknown
Third Wave Games,Unknown,Unknown
FlipFlop,Unknown,Unknown
Otomate,Japan,Unknown
Design Factory,Japan,2001
Gloczus,Japan,Unknown
Realmforge Studios,Germany,2008
CDP,Poland,1994
NCS Masaya,Unknown,Unknown
Extra Mile Studios,United Kingdom of Great Britain and Northern Ireland,Unknown
Blast! Entertainment,United Kingdom of Great Britain and Northern Ireland,2006
Freedom Factory,Unknown,Unknown
Atomic Motion,Unknown,Unknown
Mythos Games,United Kingdom of Great Britain and Northern Ireland,1988
G.rev,Japan,Unknown
Taffy Entertainment,Unknown,Unknown
Infinity,Unknown,Unknown
Respondesign,Unknown,Unknown
Digital Touch,Unknown,Unknown
Silent Software,Unknown,Unknown
Entersphere,Unknown,Unknown
Infinite Machine,Unknown,Unknown
Aqua Pacific,Unknown,Unknown
Hearty Robin,Unknown,Unknown
Platform Publishing,Unknown,Unknown
E-Game,Japan,1998
Sonokong,Unknown,Unknown
Autumn Games,United States of America,2007
Isopod Labs,United States of America,Unknown
Fluid Studios,Unknown,Unknown
Will,Japan,1988
Bold Games,Unknown,Unknown
Kogado Studio,Japan,1960
Culture Publishers,Japan,1998
Sony Pictures Television,Unknown,Unknown
Sony Pictures Consumer Products,Unknown,Unknown
Tezuka Productions,Unknown,Unknown
Infogrames Multimedia,Unknown,Unknown
Eden Studios,Unknown,1998
NEON Software,Germany,1993
GAGA Communications,Japan,1986
Blue Omega Entertainment,Unknown,Unknown
BBC Multimedia,Unknown,Unknown
"Nicalis, Inc.",United States of America,2007
Zereo,Japan,2008
BABEL Media,Unknown,Unknown
Choice Provisions,United States of America,2008
Krisalis Software,Unknown,Unknown
iRock Interactive,Unknown,Unknown
Tom Create,Unknown,Unknown
Indi,Unknown,Unknown
NEC Home Electronics,Unknown,Unknown
OG International,Unknown,Unknown
Hidden Path Entertainment,United States of America,2006
"Eidos, Inc.",Unknown,Unknown
Razorback Developments Ltd,Unknown,Unknown
Quickdraw Developments Ltd.,Unknown,Unknown
Killer Game,Unknown,Unknown
Wide Games,Unknown,Unknown
Digital Leisure Inc.,Unknown,Unknown
Cosmigo,Unknown,Unknown
General Entertainment,Unknown,Unknown
Uacari SARL,Unknown,Unknown
Toei Animation,Unknown,Unknown
b-alive,Germany,Unknown
Lightning Fish Games,Unknown,Unknown
Real Time,Unknown,Unknown
Icon Games Entertainment,Unknown,Unknown
"Little Orbit, LLC",Unknown,Unknown
Genius Products,Unknown,Unknown
dtp entertainment AG,Unknown,Unknown
Tokuma Shoten,Unknown,Unknown
Conspiracy Entertainment Corp.,United States of America,1997
Egosoft,Germany,1988
GameTrust,United States of America,Unknown
Ruby Party,Unknown,Unknown
ISCO,Unknown,Unknown
Highwaystar,Japan,1996
Epoch,Japan,1958
VD-Dev,France,Unknown
Onion Egg,Japan,Unknown
Mekensleep,Unknown,Unknown
Wicked Studios,Unknown,Unknown
Revistronic,Unknown,Unknown
Devolver Digital,United States of America,2009
Chime,Japan,1990
"Idea Factory International, Inc.",United States of America,2013
Kalypso Media Digital,United Kingdom of Great Britain and Northern Ireland,2009
Gaming Minds Studios,Germany,2009
Locus,Unknown,Unknown
Roxor Games,Unknown,Unknown
AWE Productions,Unknown,Unknown
Ringzero Game Studio,Thailand,Unknown
Nekogumi,Unknown,Unknown
Activision Value Publishing,Unknown,Unknown
Kadokawa,Unknown,Unknown
Fatshark,Sweden,2008
Perfect World Entertainment,United States of America,2008
Encore,United States of America,Unknown
Runic Games,United States of America,2008
"World Domination Industries, Inc.",Unknown,Unknown
Gaelco,Unknown,Unknown
Signal Studios,Unknown,Unknown
"Think Garage Co., Ltd.",Unknown,Unknown
EC-Interactive Ltd.,Unknown,Unknown
Game Design Sweden AB,Unknown,Unknown
Galapagos RPG,Japan,2013
Burst Studios,Unknown,Unknown
Direct Action Games,Unknown,Unknown
Myelin Media,Unknown,Unknown
5000ft,Unknown,Unknown
StudioBlack Games,United States of America,2007
Exozet Entertainment GmbH,Unknown,Unknown
Monochrome,Unknown,Unknown
Vogster Entertainment,Unknown,Unknown
Tru Blue Entertainment,Unknown,Unknown
Ubisoft Europe,Unknown,Unknown
SKonec Entertainment,"Korea, Republic of",2002
Infinite Ventures,Unknown,Unknown
Kotobuki Systems,Japan,1984
Park Place Productions,Unknown,Unknown
"G-artists, Production I.G, Inc.",Unknown,Unknown
Idol FX,Sweden,1999
Levithan Games,Unknown,Unknown
DropWave,Unknown,Unknown
Starfish SD,Unknown,Unknown
Lionsgate,Unknown,Unknown
Storm City Games,Unknown,Unknown
Kaiko,Germany,1990
Nordic Games Group,Sweden,1993
Amedio,Unknown,Unknown
Starfish,Unknown,Unknown
Millennium Interactive,United Kingdom of Great Britain and Northern Ireland,1988
Interactive Brains,Unknown,Unknown
Witchcraft Inc.,Unknown,Unknown
Synetic,Germany,1996
Happinet Corporation,Unknown,Unknown
Tate Interactive,Unknown,Unknown
Graphic Research,Japan,1982
Ravenscourt,Unknown,2015
Irem Software Engineering Co.,Unknown,Unknown
Silver Wish Games,Slovakia,2000
Fortyfive,Unknown,Unknown
"Buena Vista Games, Inc.",Unknown,Unknown
Key,Japan,1998
Mentor Interactive,United States of America,Unknown
"Capcom Entertainment, Inc.",Unknown,Unknown
Acclaim Cheltenham,United Kingdom of Great Britain and Northern Ireland,1984
SK Telecom,Unknown,Unknown
NateGames,Unknown,Unknown
Sonnori,"Korea, Republic of",1992
Sonnori Corporation,Unknown,Unknown
10tacle Studios,Germany,2003
Kunos Simulazioni,Unknown,Unknown
Natsume Atari,Japan,2013
Nimbus Games,Malaysia,2016
Invictus Games Ltd,Unknown,Unknown
Creat Studios,Russian Federation,Unknown
Sonic Powered,Japan,1998
Twilight Frontier,Japan,Unknown
Shoeisha,Japan,1986
Firehazard Studio,Unknown,Unknown
Zoo,Unknown,Unknown
Westone,Unknown,Unknown
D3,Unknown,Unknown
Headfirst Productions,United Kingdom of Great Britain and Northern Ireland,1998
Pendulo Studios,Spain,1994
Wave Generating Inc,Unknown,Unknown
Libredia,Austria,Unknown
Coreplay,Germany,2007
Arkedo Studio,France,Unknown
Tokyo RPG Factory,Japan,2015
Tivola Electronic Publishing,Unknown,Unknown
Tivola,Germany,Unknown
Devil's Thumb Entertainment,Unknown,Unknown
Electro Brain,Unknown,Unknown
Locomotive Corporation,Japan,1987
Similis Software,Unknown,Unknown
GSC Game World,Ukraine,1995
GSC World Publishing,Ukraine,2004
Liquid Games,Unknown,Unknown
BattleBorne Entertainment,Unknown,Unknown
Valhalla Game Studios,Japan,2008
Soleil,Japan,2008
Honeybee,Unknown,Unknown
Clockwork Games,Unknown,Unknown
Scarab,Unknown,Unknown
Naxat Soft,Unknown,Unknown
Orbital Media,Unknown,Unknown
Headroom,Unknown,Unknown
