,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
3136,3DS,2011.0,Role-Playing,Square Enix,0.0,0.0,0.13,0.0,0.13,,,,,,
3137,PS2,2009.0,Adventure,Enterbrain,0.0,0.0,0.13,0.0,0.13,,,,,Enterbrain,
3138,PS,1998.0,Sports,Codemasters,0.07,0.05,0.0,0.01,0.13,,,,,,
3139,PS3,2014.0,Misc,Namco Bandai Games,0.0,0.0,0.13,0.0,0.13,,,,,Bandai Namco Games,
3140,GBA,2001.0,Fighting,Spike,0.09,0.03,0.0,0.0,0.13,,,,,,
3141,PS2,2008.0,Role-Playing,Banpresto,0.0,0.0,0.13,0.0,0.13,,,,,,
3142,PS,1995.0,Strategy,Tecmo Koei,0.05,0.03,0.04,0.01,0.13,,,,,iNiS,Seven
3143,SNES,1993.0,Role-Playing,Nintendo,0.0,0.0,0.13,0.0,0.13,,,,,,
3144,PS,1995.0,Shooter,Interplay,0.07,0.05,0.0,0.01,0.13,,,,,,
3145,DS,2011.0,Misc,Activision,0.1,0.02,0.0,0.01,0.13,,,,,Activision,E
3146,PSP,2011.0,Role-Playing,Marvelous Interactive,0.0,0.0,0.13,0.0,0.13,,,,,Vanillaware,
3147,PS3,2009.0,Misc,Warner Bros. Interactive Entertainment,0.1,0.01,0.0,0.01,0.13,,,,,WB Games,T
3148,DS,2005.0,Simulation,Rising Star Games,0.0,0.0,0.13,0.0,0.13,,,,,,
3149,N64,1999.0,Platform,Konami Digital Entertainment,0.06,0.02,0.05,0.0,0.13,,,,,Konami,Twelve
3150,N64,2000.0,Shooter,Nintendo,0.0,0.0,0.13,0.0,0.13,,,,,Nintendo,T
3151,N64,1999.0,Sports,Acclaim Entertainment,0.12,0.01,0.0,0.0,0.13,,,,,Acclaim Studios Salt Lake City,E
3152,SAT,1997.0,Shooter,Sega,0.0,0.0,0.13,0.0,0.13,,,,,,
3153,WiiU,2012.0,Action,Activision,0.09,0.03,0.0,0.01,0.13,,,,,NOW Production,E10
3154,2600,1981.0,Sports,Atari,0.12,0.01,0.0,0.0,0.13,,,,,,
3155,DS,2010.0,Simulation,Tomy Corporation,0.12,0.0,0.0,0.01,0.13,,,tbd,,Tomy Corporation,E
3156,SAT,1996.0,Fighting,Sega,0.0,0.0,0.13,0.0,0.13,,,,,,
3157,SAT,1997.0,Misc,Hudson Soft,0.0,0.0,0.13,0.0,0.13,,,,,Hudson Soft,
3158,Wii,2009.0,Misc,Mindscape,0.0,0.12,0.0,0.01,0.13,,,,,Mindscape,Three
3159,PSP,2010.0,Misc,Konami Digital Entertainment,0.0,0.0,0.13,0.0,0.13,,,,,Konami Digital Entertainment,
3160,GC,2003.0,Puzzle,Unknown,0.0,0.0,0.13,0.0,0.13,,,,,Nintendo,E
3161,X360,2008.0,Action,THQ,0.08,0.04,0.0,0.01,0.13,,,,,THQ,T
3162,Wii,2010.0,Misc,Ubisoft,0.0,0.11,0.0,0.02,0.13,,,,,,
3163,GBA,2006.0,Platform,Disney Interactive Studios,0.09,0.03,0.0,0.0,0.13,,,,,,
3164,DS,2010.0,Role-Playing,Enterbrain,0.0,0.0,0.13,0.0,0.13,,,,,Cattle Call,
3165,3DS,2011.0,Puzzle,Sega,0.0,0.0,0.13,0.0,0.13,,,,,Sega,CERO_A
3166,PS,1995.0,Sports,Sony Computer Entertainment,0.0,0.0,0.12,0.01,0.13,,,,,,
3167,X360,2010.0,Role-Playing,Capcom,0.0,0.0,0.13,0.0,0.13,,,,,Capcom,
3168,3DS,2015.0,Action,Namco Bandai Games,0.0,0.0,0.13,0.0,0.13,,,,,,
3169,PSP,2011.0,Racing,Disney Interactive Studios,0.1,0.01,0.0,0.02,0.13,,,,,Virtual Toys,E
3170,PS2,2005.0,Misc,Sega,0.0,0.0,0.13,0.0,0.13,,,,,Sega,
3171,SNES,1995.0,Role-Playing,Enix Corporation,0.0,0.0,0.13,0.0,0.13,,,,,,
3172,DS,2005.0,Action,Konami Digital Entertainment,0.0,0.03,0.1,0.0,0.13,,,,,,
3173,PS3,2014.0,Fighting,Nippon Ichi Software,0.06,0.01,0.04,0.02,0.13,,,,,French Bread,Twelve
3174,GEN,1992.0,Shooter,Sega,0.0,0.0,0.13,0.0,0.13,,,,,,
3175,DS,2010.0,Action,Namco Bandai Games,0.0,0.0,0.13,0.0,0.13,,,,,,
3176,PS2,2007.0,Role-Playing,Sega,0.0,0.0,0.13,0.0,0.13,,,,,Nextech,CERO_B
3177,GBA,2004.0,Misc,Nintendo,0.09,0.03,0.0,0.0,0.13,,,,,,
3178,PS,1998.0,Action,Telstar,0.07,0.05,0.0,0.01,0.13,,,,,Candle Light Studios,T
3179,Wii,2011.0,Action,Capcom,0.0,0.0,0.13,0.0,0.13,,,,,Capcom,CERO_C
3180,GC,2002.0,Platform,Infogrames,0.1,0.03,0.0,0.0,0.13,,,,,Infogrames,Three
3181,XB,2003.0,Shooter,LucasArts,0.1,0.03,0.0,0.0,0.13,,,,,LucasArts,T
3182,PS2,2006.0,Sports,Take-Two Interactive,0.06,0.05,0.0,0.02,0.13,,,,,2K Games,E
3183,PS2,2002.0,Strategy,Tecmo Koei,0.0,0.0,0.13,0.0,0.13,,,,,Koei,
3184,GBA,2002.0,Sports,Enterbrain,0.0,0.0,0.12,0.0,0.13,,,,,,
3185,PS3,2010.0,Misc,Deep Silver,0.0,0.1,0.0,0.03,0.13,,,,,,
3186,GC,2002.0,Misc,Infogrames,0.1,0.03,0.0,0.0,0.13,,,,,Infogrames,E
3187,XB,2004.0,Racing,Codemasters,0.09,0.03,0.0,0.0,0.13,,,,,,
3188,PS3,2013.0,Sports,Sega,0.0,0.0,0.13,0.0,0.13,,,,,,
3189,PS,1995.0,Sports,U.S. Gold,0.07,0.05,0.0,0.01,0.13,,,,,,
3190,PS,1996.0,Simulation,Virgin Interactive,0.07,0.05,0.0,0.01,0.13,,,,,,T
3191,Wii,2008.0,Adventure,Sega,0.0,0.0,0.13,0.0,0.13,,,,,Chunsoft,Sixteen
3192,PS,2001.0,Adventure,3DO,0.07,0.05,0.0,0.01,0.13,,,,,3DO,T
3193,PSP,2011.0,Role-Playing,Atlus,0.07,0.0,0.04,0.01,0.13,,,,,,
3194,X360,2013.0,Shooter,Electronic Arts,0.09,0.03,0.0,0.01,0.13,,,,,,
3195,WiiU,2012.0,Action,Activision,0.11,0.0,0.0,0.01,0.13,,,,,,
3196,PSP,2013.0,Role-Playing,Sega,0.0,0.0,0.13,0.0,0.13,,,,,Sega,CERO_B
3197,SAT,1997.0,Role-Playing,NEC Interchannel,0.0,0.0,0.13,0.0,0.13,,,,,Banpresto,
3198,3DS,2014.0,Adventure,Namco Bandai Games,0.0,0.0,0.13,0.0,0.13,,,,,,CERO_A
3199,PS,1998.0,Platform,DreamWorks Interactive,0.07,0.05,0.0,0.01,0.13,,,,,"The Neverhood, Inc.",T
3200,PS3,2011.0,Racing,Black Bean Games,0.01,0.09,0.0,0.03,0.13,,,,,,
3201,PSV,2013.0,Action,Namco Bandai Games,0.0,0.0,0.13,0.0,0.13,,,,,Omega Force,T
3202,3DS,2013.0,Strategy,Level 5,0.0,0.0,0.13,0.0,0.13,,,,,,
3203,PSP,2006.0,Strategy,Konami Digital Entertainment,0.09,0.02,0.0,0.02,0.13,,,,,Konami,E
3204,SAT,1995.0,Shooter,Konami Digital Entertainment,0.0,0.0,0.13,0.0,0.13,,,,,Konami,
3205,PSP,2010.0,Role-Playing,Capcom,0.0,0.0,0.13,0.0,0.13,,,,,Imageepoch,
3206,X360,2010.0,Strategy,Slitherine Software,0.08,0.04,0.0,0.01,0.13,,,,,,
3207,DS,2010.0,Sports,Konami Digital Entertainment,0.0,0.0,0.13,0.0,0.13,,,,,Konami,CERO_A
3208,PSP,2011.0,Sports,Sega,0.0,0.09,0.0,0.04,0.13,,,,,Sports Interactive,E
3209,PS,2002.0,Sports,Konami Digital Entertainment,0.0,0.0,0.12,0.01,0.13,,,,,,
3210,PS,1997.0,Sports,Gremlin Interactive Ltd,0.07,0.05,0.0,0.01,0.13,,,,,,
3211,PS3,2006.0,Action,Capcom,0.0,0.0,0.12,0.0,0.12,,,,,,
3212,SAT,1997.0,Platform,Sega,0.0,0.0,0.12,0.0,0.12,,,,,Sonic Team,E
3213,PSP,2012.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12,,,,,Namco Bandai Games,
3214,PS,2000.0,Sports,Infogrames,0.07,0.05,0.0,0.01,0.12,,,,,,E
3215,DS,2008.0,Adventure,THQ,0.11,0.01,0.0,0.01,0.12,,,,,THQ,E
3216,SAT,1998.0,Sports,Sega,0.0,0.0,0.12,0.0,0.12,,,,,,
3217,SAT,1995.0,Racing,Atlus,0.0,0.0,0.12,0.0,0.12,,,,,CAVE Interactive CO,E
3218,DC,2001.0,Fighting,Capcom,0.0,0.0,0.12,0.0,0.12,,,,,,
3219,PS,1996.0,Fighting,Vic Tokai,0.07,0.05,0.0,0.01,0.12,,,,,Kronos Digital Entertainment,T
3220,X360,2008.0,Racing,Activision,0.11,0.01,0.0,0.01,0.12,,,,,,
3221,PS,1997.0,Adventure,Human Entertainment,0.0,0.0,0.12,0.01,0.12,,,,,Human Entertainment,
3222,PSV,2012.0,Action,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12,,,,,,
3223,PSP,2007.0,Puzzle,Eidos Interactive,0.11,0.0,0.0,0.01,0.12,,,,,Eidos Interactive,E
3224,DS,2006.0,Simulation,Konami Digital Entertainment,0.0,0.0,0.12,0.0,0.12,,,,,Future Creates,Three
3225,DS,2006.0,Simulation,MTO,0.0,0.0,0.12,0.0,0.12,,,,,MTO,
3226,SAT,1996.0,Fighting,Human Entertainment,0.0,0.0,0.12,0.0,0.12,,,,,,
3227,PSP,2006.0,Action,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12,,,,,Artdink,
3228,XOne,2016.0,Racing,Codemasters,0.03,0.08,0.0,0.01,0.12,,,,,,
3229,PS,1999.0,Fighting,Human Entertainment,0.0,0.0,0.12,0.01,0.12,,,,,,
3230,GC,2004.0,Racing,Electronic Arts,0.1,0.02,0.0,0.0,0.12,,,,,EA Tiburon,E
3231,PS2,2008.0,Misc,D3Publisher,0.0,0.0,0.12,0.0,0.12,,,,,,
3232,PSV,2013.0,Action,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12,,,,,Omega Force,T
3233,3DS,2014.0,Misc,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12,,,,,,
3234,DS,2010.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12,,,,,Namco Bandai Games,
3235,3DS,2016.0,Role-Playing,Atlus,0.0,0.0,0.12,0.0,0.12,,,,,Atlus,Twelve
3236,PS,1998.0,Adventure,From Software,0.03,0.02,0.07,0.01,0.12,,,,,Agetec,T
3237,PS2,2006.0,Role-Playing,505 Games,0.0,0.0,0.12,0.0,0.12,,,,,,
3238,PS,2000.0,Simulation,Psygnosis,0.07,0.05,0.0,0.01,0.12,,,,,Psygnosis,E
3239,PS,1997.0,Strategy,Acclaim Entertainment,0.07,0.05,0.0,0.01,0.12,,,,,Acclaim Entertainment,T
3240,WiiU,2012.0,Shooter,Activision,0.06,0.05,0.0,0.01,0.12,,,,,,
3241,NG,1994.0,Fighting,SNK,0.0,0.0,0.12,0.0,0.12,,,,,,
3242,DS,2008.0,Adventure,Tecmo Koei,0.0,0.0,0.12,0.0,0.12,,,,,,
3243,DS,2011.0,Action,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12,,,,,,
3244,PS2,2008.0,Fighting,Ignition Entertainment,0.04,0.03,0.03,0.01,0.12,,,,,,
3245,PS,1998.0,Role-Playing,Activision,0.07,0.05,0.0,0.01,0.12,,,,,Tamsoft Corporation,E
3246,PS2,2003.0,Racing,Namco Bandai Games,0.06,0.05,0.0,0.02,0.12,,,,,,
3247,PSV,2016.0,Action,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12,,,,,Bandai Namco Entertainment,
3248,DS,2008.0,Racing,Zoo Digital Publishing,0.11,0.0,0.0,0.01,0.12,,,,,,
3249,PS3,2008.0,Misc,Sony Computer Entertainment,0.0,0.1,0.0,0.03,0.12,,,,,SCE London Studio,
3250,PS3,2011.0,Sports,Ubisoft,0.0,0.1,0.0,0.02,0.12,,,,,,
3251,DS,2006.0,Role-Playing,Nintendo,0.0,0.0,0.12,0.0,0.12,,,,,Nintendo,CERO_A
3252,PSP,2012.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12,,,,,Flight-Plan,
3253,PS,1997.0,Adventure,Psygnosis,0.07,0.05,0.0,0.01,0.12,,,,,,
3254,PSP,2012.0,Strategy,,0.0,0.0,0.12,0.0,0.12,,,,,,
3255,PSP,2007.0,Shooter,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12,,,,,,
3256,SAT,1996.0,Strategy,Tecmo Koei,0.0,0.0,0.12,0.0,0.12,,,,,,
3257,PSP,2005.0,Puzzle,Sony Computer Entertainment,0.11,0.0,0.0,0.01,0.12,,,,,,E
3258,SNES,1996.0,Role-Playing,Hudson Soft,0.0,0.0,0.12,0.0,0.12,,,,,,
3259,PSP,2011.0,Action,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12,,,,,,
3260,DS,2009.0,Action,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12,,,,,,
3261,SAT,1995.0,Misc,Sega,0.0,0.0,0.12,0.0,0.12,,,,,Sega,
3262,PS3,2014.0,Action,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12,,,,,,
3263,PS2,2006.0,Platform,Unknown,0.0,0.0,0.12,0.0,0.12,,,,,,
3264,DS,2010.0,Role-Playing,Rocket Company,0.0,0.0,0.12,0.0,0.12,,,,,,
3265,PS4,2015.0,Role-Playing,Tecmo Koei,0.03,0.02,0.06,0.01,0.12,75.0,32.0,8.1,47.0,Koei Tecmo Europe,Twelve
3266,PSP,2010.0,Strategy,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12,,,,,,
3267,PS4,2015.0,Role-Playing,Namco Bandai Games,0.0,0.1,0.0,0.02,0.12,,,,,Aquria,T
3268,DS,2007.0,Misc,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12,,,,,,
3269,PS3,2010.0,Action,Sony Computer Entertainment,0.0,0.07,0.03,0.02,0.12,,,,,Capcom,Eighteen
3270,GEN,1992.0,Adventure,Sega,0.0,0.0,0.12,0.0,0.12,,,,,Novotrade,Twelve
3271,Wii,2009.0,Puzzle,Crave Entertainment,0.11,0.0,0.0,0.01,0.12,,,,,Crave Entertainment,E
3272,PS4,2016.0,Action,Crytek,0.06,0.03,0.0,0.02,0.12,65.0,40.0,6.9,62.0,Crytek,
3273,GB,1999.0,Simulation,Ubisoft,0.0,0.0,0.12,0.0,0.12,,,,,,
3274,Wii,2011.0,Strategy,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12,,,,,,
3275,PS,2000.0,Sports,Tecmo Koei,0.0,0.0,0.11,0.01,0.12,,,,,Tecmo,
3276,PSP,2011.0,Action,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12,,,,,,
3277,DS,2011.0,Action,THQ,0.1,0.01,0.0,0.01,0.12,,,,,THQ,E
3278,Wii,2010.0,Sports,Atari,0.11,0.0,0.0,0.01,0.12,,,,,,
3279,DS,2010.0,Action,Activision,0.11,0.01,0.0,0.01,0.12,,,,,Activision,E10
3280,N64,1999.0,Platform,Ubisoft,0.1,0.02,0.0,0.0,0.12,,,,,Sucker Punch Productions,E
3281,N64,1999.0,Simulation,Taito,0.0,0.0,0.05,0.07,0.12,,,,,Taito GM R&D Sect. #2,
3282,N64,2000.0,Sports,Acclaim Entertainment,0.11,0.01,0.0,0.0,0.12,,,,,Acclaim Entertainment,E
3283,N64,1999.0,Platform,Interplay,0.1,0.02,0.0,0.0,0.12,,,,,Interplay Entertainment,E
3284,3DS,2015.0,Role-Playing,Atlus,0.0,0.02,0.09,0.0,0.12,,,,,Atlus,T
3285,Wii,2008.0,Sports,Crave Entertainment,0.11,0.0,0.0,0.01,0.12,,,,,Totally Games,E10
3286,PS3,2016.0,Role-Playing,Square Enix,0.0,0.0,0.12,0.0,0.12,,,,,,
3287,GBA,2005.0,Racing,THQ,0.09,0.03,0.0,0.0,0.12,,,,,,
3288,PSP,2011.0,Fighting,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12,,,,,,
3289,PSP,2013.0,Action,Marvelous Entertainment,0.0,0.0,0.12,0.0,0.12,,,,,Imageepoch,
3290,PS,2000.0,Sports,THQ,0.07,0.05,0.0,0.01,0.12,70.0,9.0,tbd,,Radical Entertainment,E
3291,PS,1996.0,Racing,FunSoft,0.07,0.05,0.0,0.01,0.12,,,,,Toka,E
3292,SNES,1994.0,Role-Playing,Banpresto,0.0,0.0,0.12,0.0,0.12,,,,,,
3293,DS,2010.0,Strategy,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12,,,,,,
3294,X360,2010.0,Sports,Atari,0.11,0.0,0.0,0.01,0.12,,,,,,E
3295,GBA,2005.0,Misc,Vivendi Games,0.09,0.03,0.0,0.0,0.12,,,,,,
3296,GBA,2004.0,Shooter,Konami Digital Entertainment,0.0,0.0,0.12,0.0,0.12,,,,,Nintendo,
3297,PS3,2016.0,Adventure,Sega,0.0,0.0,0.12,0.0,0.12,,,,,Deep Silver,Eighteen
3298,PS2,2001.0,Sports,Konami Digital Entertainment,0.0,0.0,0.12,0.0,0.12,,,,,,
3299,PS2,2005.0,Adventure,Konami Digital Entertainment,0.06,0.05,0.0,0.02,0.12,,,,,Konami,E
3300,GB,2001.0,Role-Playing,Imagineer,0.0,0.0,0.12,0.0,0.12,,,,,,
3301,PSP,2010.0,Shooter,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12,,,,,Witch Craft,
3302,3DS,2014.0,Fighting,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12,,,,,Ganbarion,CERO_B
3303,PS,1998.0,Platform,Eidos Interactive,0.07,0.04,0.0,0.01,0.12,,,,,Crystal Dynamics,T
3304,PS4,2014.0,Action,Acquire,0.08,0.0,0.01,0.02,0.12,,,,,XSEED Games,Sixteen
3305,PS3,2016.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12,,,,,Bandai Namco Games,T
3306,PSP,2013.0,Action,Broccoli,0.0,0.0,0.12,0.0,0.12,,,,,Nippon Ichi Software,CERO_C
3307,PS,1996.0,Sports,SPS,0.07,0.04,0.0,0.01,0.12,,,,,Accolade,E
3308,XB,2003.0,Sports,Microsoft Game Studios,0.09,0.03,0.0,0.0,0.12,,,,,,
3309,PSV,2014.0,Sports,Konami Digital Entertainment,0.0,0.0,0.12,0.0,0.12,,,,,,
3310,SAT,1994.0,Fighting,Sega,0.0,0.0,0.12,0.0,0.12,,,,,,
3311,PSP,2011.0,Simulation,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12,,,,,,
3312,GC,2002.0,Sports,Konami Digital Entertainment,0.0,0.0,0.11,0.0,0.12,,,,,,
3313,PS,1998.0,Racing,Interplay,0.07,0.04,0.0,0.01,0.12,,,,,,T
3314,DS,2011.0,Misc,Ubisoft,0.11,0.0,0.0,0.01,0.12,,,,,,
3315,PS,2001.0,Strategy,Namco Bandai Games,0.0,0.0,0.11,0.01,0.12,,,,,,
3316,SNES,1994.0,Fighting,Angel Studios,0.0,0.0,0.12,0.0,0.12,,,,,,
3317,SNES,1993.0,Sports,T&E Soft,0.0,0.0,0.12,0.0,0.12,,,,,,
3318,PSV,2014.0,Misc,Kadokawa Games,0.0,0.0,0.12,0.0,0.12,,,,,Dingo,
3319,PS,2000.0,Racing,Electronic Arts,0.07,0.04,0.0,0.01,0.12,,,,,Actualize,E
3320,PS2,2002.0,Fighting,Spike,0.0,0.0,0.12,0.0,0.12,,,,,,
3321,PS,2001.0,Adventure,THQ,0.06,0.04,0.0,0.01,0.12,,,,,THQ,E
3322,SAT,1997.0,Puzzle,Sega,0.0,0.0,0.12,0.0,0.12,,,,,,
3323,PSP,2007.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12,,,,,Telenet Japan,CERO_A
3324,DS,2011.0,Sports,Konami Digital Entertainment,0.0,0.0,0.12,0.0,0.12,,,,,Konami,CERO_A
3325,PS3,2016.0,Sports,Konami Digital Entertainment,0.0,0.0,0.12,0.0,0.12,,,,,,
3326,PS3,2011.0,Sports,Sony Computer Entertainment,0.0,0.1,0.0,0.02,0.12,,,,,Sony Computer Entertainment,E
3327,SNES,1991.0,Shooter,Capcom,0.0,0.0,0.12,0.0,0.12,,,,,Capcom,
3328,PS,1996.0,Sports,Tecmo Koei,0.06,0.04,0.0,0.01,0.12,,,,,Tecmo,E
3329,SAT,1998.0,Role-Playing,Kadokawa Shoten,0.0,0.0,0.12,0.0,0.12,,,,,Working Designs,T
3330,PS,1996.0,Sports,Virgin Interactive,0.06,0.04,0.0,0.01,0.12,,,,,Radical Entertainment,E
3331,PS,1998.0,Role-Playing,Atlus,0.06,0.04,0.0,0.01,0.12,,,,,Atlus,T
3332,X360,2013.0,Misc,Ubisoft,0.09,0.01,0.0,0.01,0.12,,,,,,
3333,PS,1998.0,Adventure,Sony Computer Entertainment,0.0,0.0,0.11,0.01,0.12,,,,,,
3334,DS,2008.0,Action,Takara Tomy,0.0,0.0,0.12,0.0,0.12,,,,,,
3335,DS,2007.0,Adventure,Konami Digital Entertainment,0.0,0.0,0.12,0.0,0.12,,,,,Konami,
3336,PS,1995.0,Strategy,Sony Computer Entertainment,0.0,0.0,0.11,0.01,0.12,,,,,Pandora Box Creative Office,
3337,PS2,2007.0,Misc,D3Publisher,0.0,0.0,0.12,0.0,0.12,,,,,,
3338,DS,2009.0,Sports,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12,,,,,,
3339,SAT,1994.0,Fighting,JVC,0.0,0.0,0.12,0.0,0.12,,,,,,
3340,PSV,2013.0,Action,Tecmo Koei,0.03,0.02,0.05,0.02,0.12,,,,,Omega Force,T
3341,PS3,2012.0,Action,Sega,0.0,0.0,0.11,0.0,0.11,,,,,Sega,M
3342,PS2,2000.0,Fighting,Tecmo Koei,0.0,0.0,0.11,0.0,0.11,,,,,,
3343,PS3,2013.0,Shooter,Electronic Arts,0.06,0.04,0.0,0.02,0.11,,,,,,
3344,SAT,1995.0,Strategy,Tecmo Koei,0.0,0.0,0.11,0.0,0.11,,,,,,
3345,PS,2000.0,Racing,Video System,0.06,0.04,0.0,0.01,0.11,,,,,Ubisoft Milan,E
3346,PS2,2005.0,Sports,Konami Digital Entertainment,0.0,0.0,0.11,0.0,0.11,,,,,,
3347,PS2,2006.0,Fighting,Sega,0.0,0.0,0.11,0.0,0.11,,,,,TYPE-MOON,
3348,XB,2002.0,Action,Sega,0.09,0.02,0.0,0.0,0.11,,,,,Sega,T
3349,SAT,1998.0,Adventure,Data East,0.0,0.0,0.11,0.0,0.11,,,,,,
3350,WiiU,2014.0,Misc,Namco Bandai Games,0.0,0.0,0.11,0.0,0.11,,,,,Bandai Namco Entertainment,CERO_A
3351,PS3,2016.0,Role-Playing,Unknown,0.0,0.0,0.11,0.0,0.11,,,,,Atlus,Sixteen
3352,3DS,2012.0,Sports,Nintendo,0.0,0.0,0.11,0.0,0.11,,,,,,
3353,PS,1994.0,Fighting,Time Warner Interactive,0.06,0.04,0.0,0.01,0.11,,,,,,
3354,DS,2010.0,Action,Namco Bandai Games,0.0,0.0,0.11,0.0,0.11,,,,,,
3355,PS,1999.0,Fighting,SouthPeak Games,0.06,0.04,0.0,0.01,0.11,,,,,"The Neverhood, Inc.",T
3356,PS2,2004.0,Sports,Acclaim Entertainment,0.06,0.04,0.0,0.01,0.11,,,,,Acclaim Entertainment,E
3357,PS,1998.0,Adventure,Gainax Network Systems,0.0,0.0,0.11,0.01,0.11,,,,,Gainax,
3358,PSP,2010.0,Action,Tecmo Koei,0.0,0.0,0.11,0.0,0.11,,,,,,CERO_B
3359,3DS,2014.0,Puzzle,Sega,0.0,0.0,0.11,0.0,0.11,,,,,Sega,Three
3360,PS3,2011.0,Action,Ubisoft,0.0,0.09,0.0,0.02,0.11,,,,,Ubisoft Montreal,M
3361,PS,1999.0,Sports,Konami Digital Entertainment,0.06,0.04,0.0,0.01,0.11,,,,,Konami,E
3362,3DS,2015.0,Action,Namco Bandai Games,0.0,0.0,0.11,0.0,0.11,,,,,,
3363,PS,1997.0,Shooter,BMG Interactive Entertainment,0.06,0.04,0.0,0.01,0.11,,,,,BMG Interactive,T
3364,SAT,1998.0,Adventure,Sega,0.0,0.0,0.11,0.0,0.11,,,,,Gainax,
3365,PSP,2009.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.11,0.0,0.11,,,,,,CERO_D
3366,PS,1994.0,Sports,Konami Digital Entertainment,0.0,0.0,0.11,0.01,0.11,,,,,,
3367,SAT,1996.0,Racing,Sega,0.0,0.0,0.11,0.0,0.11,,,,,,
3368,Wii,2010.0,Action,Nintendo,0.0,0.0,0.11,0.0,0.11,,,,,Nintendo,CERO_D
3369,PS2,2006.0,Misc,Daito,0.0,0.0,0.11,0.0,0.11,,,,,,
3370,DS,2008.0,Misc,Ubisoft,0.1,0.0,0.0,0.01,0.11,,,,,,
3371,3DS,2012.0,Simulation,Ubisoft,0.07,0.03,0.0,0.01,0.11,,,,,,Three
3372,PS3,2014.0,Action,Activision,0.04,0.04,0.01,0.02,0.11,,,,,Edge of Reality,Twelve
3373,PS3,2008.0,Sports,Konami Digital Entertainment,0.0,0.0,0.11,0.0,0.11,,,,,,
3374,PS2,2005.0,Shooter,SNK Playmore,0.05,0.04,0.0,0.01,0.11,,,,,SNK Playmore USA,T
3375,PSV,2016.0,Action,Tecmo Koei,0.0,0.0,0.11,0.0,0.11,,,,,Omega Force,Sixteen
3376,PS2,2005.0,Sports,Konami Digital Entertainment,0.0,0.0,0.11,0.0,0.11,,,,,,
3377,3DS,2011.0,Action,Warner Bros. Interactive Entertainment,0.08,0.02,0.0,0.01,0.11,,,,,Warner Bros. Interactive Entertainment,E
3378,3DS,2011.0,Action,Warner Bros. Interactive Entertainment,0.08,0.02,0.0,0.01,0.11,,,,,Warner Bros. Interactive Entertainment,E
3379,3DS,2011.0,Action,Warner Bros. Interactive Entertainment,0.08,0.02,0.0,0.01,0.11,,,,,Warner Bros. Interactive Entertainment,E
3380,3DS,2011.0,Action,Warner Bros. Interactive Entertainment,0.08,0.02,0.0,0.01,0.11,,,,,Warner Bros. Interactive Entertainment,E
3381,XOne,2014.0,Action,Activision,0.07,0.03,0.0,0.01,0.11,,,,,Edge of Reality,Twelve
3382,PSP,2011.0,Adventure,Aqua Plus,0.0,0.0,0.11,0.0,0.11,,,,,Sting,CERO_D
3383,SAT,1995.0,Misc,Sega,0.0,0.0,0.11,0.0,0.11,,,,,,
3384,DS,2007.0,Strategy,Nintendo,0.0,0.0,0.11,0.0,0.11,,,,,Nintendo,
3385,DS,2008.0,Adventure,Konami Digital Entertainment,0.0,0.0,0.11,0.0,0.11,,,,,Konami,CERO_B
3386,GBA,2002.0,Platform,Ubisoft,0.08,0.03,0.0,0.0,0.11,,,,,,
3387,XB,2003.0,Platform,THQ,0.08,0.02,0.0,0.0,0.11,,,,,,
3388,PS3,2013.0,Action,Nippon Ichi Software,0.05,0.01,0.04,0.01,0.11,,,,,XSEED Games,Sixteen
3389,Wii,2007.0,Simulation,Namco Bandai Games,0.0,0.0,0.11,0.0,0.11,,,,,Bandai Namco Entertainment,CERO_A
3390,PS3,2011.0,Adventure,THQ,0.0,0.0,0.11,0.0,0.11,,,,,,
