Developer,Country,Year_of_Establishment
Human Soft Inc.,Unknown (ID: None),Unknown
ImPulse Games,Unknown (ID: None),Unknown
Sennari Interactive,United States of America,2000
Gas Powered Games,Unknown (ID: None),Unknown
AGENDA,Unknown (ID: None),Unknown
Infinite Interactive,Australia,Unknown
Square Enix Business Division 9,Japan,2013
Powerhead Games,Unknown (ID: None),Unknown
JoshProd,Unknown (ID: None),Unknown
Asylum Studios,Unknown (ID: None),Unknown
Ion Storm,United States of America,1996
SNK Playmore,Japan,2003
Smart Bomb Interactive,United States of America,Unknown
Namcot,Japan,1984
Digital Frontier,Unknown (ID: None),Unknown
Studio Ibuki,Unknown (ID: None),Unknown
G1M2,Unknown (ID: None),Unknown
Nick Games,Unknown (ID: None),Unknown
Hydravision Entertainment,Unknown (ID: None),Unknown
Seaven Studio,France,Unknown
Hitmen Productions,Unknown (ID: None),Unknown
4mm Games,Unknown (ID: None),Unknown
System 3 Software,United Kingdom of Great Britain and Northern Ireland,1982
CI Games,Poland,2002
Black Hole Entertainment,Hungary,2001
Limbic Entertainment,Germany,2002
Eidos Hungary,Hungary,2006
Zoo Publishing,Unknown (ID: None),Unknown
Riverhillsoft,Japan,1982
SouthPeak Games,Unknown (ID: None),Unknown
Crypton Future Media,Japan,1995
Konami Computer Entertainment Hawaii,United States of America,1997
Hijinx Studios,United States of America,2008
SkyZone Entertainment,Unknown (ID: None),Unknown
Venom Games,United Kingdom of Great Britain and Northern Ireland,2003
icculus.org,Unknown (ID: None),Unknown
MachineWorks Northwest,United States of America,Unknown
Gaia,Unknown (ID: None),Unknown
"Rocket Studio, Inc.",Japan,1999
Codefire,Unknown (ID: None),Unknown
Access,Japan,1990
Zoo Games,Unknown (ID: None),Unknown
Phantagram,"Korea, Republic of",1994
Zushi Games,United Kingdom of Great Britain and Northern Ireland,1999
Rutubo Games,Japan,2010
Amazing Studio,Unknown (ID: None),Unknown
TYPE-MOON,Japan,1998
Imageepoch,Japan,2005
Avanquest Software Publishing Ltd,Unknown (ID: None),Unknown
Namco Bandai America,Unknown (ID: None),Unknown
NewKidCo,Unknown (ID: None),Unknown
Big Red Button,Unknown (ID: None),Unknown
Tarantula Studios,Unknown (ID: None),Unknown
Wildfire Studios,Australia,1995
Mumbo Jumbo,Unknown (ID: None),Unknown
Hot Lava Games,Russian Federation,2005
rondomedia Marketing & Vertriebs GmbH,Germany,1998
Gear Head Studios,Unknown (ID: None),Unknown
Tru Blu Entertainment,Unknown (ID: None),Unknown
Piko Interactive,United States of America,2013
Mucky Foot Productions,United Kingdom of Great Britain and Northern Ireland,1997
Humagade,Unknown (ID: None),Unknown
Ronin Entertainment,Unknown (ID: None),Unknown
Shade,Japan,Unknown
ESP,Unknown (ID: None),Unknown
In-Fusio,France,1998
BeTomorrow,Unknown (ID: None),Unknown
TDK,Unknown (ID: None),Unknown
"Ultra Co., Ltd.",Unknown (ID: None),Unknown
Exact,Unknown (ID: None),Unknown
Capcom Production Studio 6,Unknown (ID: None),Unknown
MiCROViSion,Unknown (ID: None),Unknown
Microcabin,Unknown (ID: None),Unknown
J.P.Room Recordings,Unknown (ID: None),Unknown
"Banpresto Co., Ltd.",Unknown (ID: None),Unknown
Softmax,Unknown (ID: None),Unknown
Raster Productions,Unknown (ID: None),Unknown
Graphic State Games,Unknown (ID: None),Unknown
Paragon 5,Unknown (ID: None),Unknown
J-Force,Unknown (ID: None),Unknown
"Sega Enterprises, Inc.",United States of America,1974
Aquria,Japan,2002
Hyperspace Cowgirls,Unknown (ID: None),Unknown
Artificial Mind and Movement,Unknown (ID: None),Unknown
Headlock,Unknown (ID: None),Unknown
Diamond Head,Unknown (ID: None),Unknown
Simon & Schuster,Unknown (ID: None),Unknown
Altron Corporation,Unknown (ID: None),Unknown
Studio Saizensen,Unknown (ID: None),Unknown
Warner Bros. Games,Unknown (ID: None),Unknown
Double Tap,Unknown (ID: None),Unknown
Six by nine,Unknown (ID: None),Unknown
MBL Research,Unknown (ID: None),Unknown
Transmission Games,Unknown (ID: None),Unknown
Pipeworks Studios,United States of America,1999
LightBox Interactive,Unknown (ID: None),Unknown
1C Company,Unknown (ID: None),Unknown
GameBrains,Unknown (ID: None),Unknown
Global Entertainment R&D Dept. 2,Unknown (ID: None),Unknown
Circus Freak,Unknown (ID: None),Unknown
Whoopee Camp,Japan,1997
MonkeyPaw Games,Unknown (ID: None),Unknown
Kinesoft,Unknown (ID: None),Unknown
Game Titan,Unknown (ID: None),Unknown
DokiDenki Studio,Unknown (ID: None),Unknown
Sacnoth,Japan,1997
Bandai Namco Entertainment America Inc.,Unknown (ID: None),Unknown
Larian Studios,Belgium,1996
Tigervision,Unknown (ID: None),Unknown
CAVE Interactive,Japan,1994
Avanquest,Unknown (ID: None),Unknown
Warthog Games,United Kingdom of Great Britain and Northern Ireland,1997
Just Add Monsters,Unknown (ID: None),Unknown
Red Mile Entertainment,United States of America,2004
Japan System House,Japan,1987
Redline Games,Unknown (ID: None),Unknown
"Majesco Sales, Inc",Unknown (ID: None),Unknown
Volatile Games,Unknown (ID: None),Unknown
UTV Ignition Entertainment,Unknown (ID: None),Unknown
Ignition Tokyo,Unknown (ID: None),Unknown
SETA,Unknown (ID: None),Unknown
Creature Labs,Unknown (ID: None),Unknown
Midas Interactive Entertainment,"Netherlands, Kingdom of the",1998
ZOOM,Japan,Unknown
ELF Corporation,Unknown (ID: None),1989
Other Ocean Interactive,Canada,2006
MacPlay,Unknown (ID: None),Unknown
Presto Studios,United States of America,1992
Lancarse,Unknown (ID: None),Unknown
"Datasoft, Inc.",United States of America,1980
Unimex,Unknown (ID: None),Unknown
Dynacom,Unknown (ID: None),Unknown
Home Vision,Unknown (ID: None),Unknown
Gem International Corp.,Unknown (ID: None),Unknown
Quelle,Unknown (ID: None),Unknown
Copper Black,Unknown (ID: None),Unknown
Digivision,Brazil,Unknown
Bit Corporation,"Taiwan, Province of China",1982
ZiMAG,Unknown (ID: None),Unknown
Arcade Moon,Unknown (ID: None),Unknown
Cheshire Engineering,Unknown (ID: None),Unknown
Digiplay,Brazil,Unknown
Attention To Detail,United Kingdom of Great Britain and Northern Ireland,1988
Firemint,Australia,Unknown
Big Blue Bubble,Canada,Unknown
Acclaim Studios Teesside,Unknown (ID: None),Unknown
Venan Entertainment,Unknown (ID: None),Unknown
HotGen,United Kingdom of Great Britain and Northern Ireland,Unknown
"Vicious Cycle Software, Inc.",Unknown (ID: None),Unknown
indies zero,Unknown (ID: None),Unknown
Nintendo EAD Tokyo Software Development Group No.2,Japan,2003
Scholastic,Unknown (ID: None),Unknown
Sega Rosso,Japan,2000
GameMill Entertainment,United States of America,2001
MumboJumbo,United States of America,2001
GameHouse,United States of America,1998
Ubisoft Vancouver,Canada,2006
Pronto Games,Unknown (ID: None),Unknown
Last Day of Work,United States of America,2002
Ilinx Corporation,Japan,2010
Marvelous Entertainment Inc.,Unknown (ID: None),Unknown
Digital Media Lab Inc.,Unknown (ID: None),Unknown
Acclaim Studios London,United Kingdom of Great Britain and Northern Ireland,1984
Prokion,Unknown (ID: None),Unknown
Nintendo SPD Production Group No. 3,Japan,2003
Just Add Water,United Kingdom of Great Britain and Northern Ireland,2006
SNK Neogeo USA Consumer,Unknown (ID: None),Unknown
Noise Factory,Unknown (ID: None),Unknown
Team OX,Japan,1997
Crispy's!,Japan,2006
Gamecock Media Group,Unknown (ID: None),Unknown
Studio 33,Unknown (ID: None),Unknown
NEC Avenue,Unknown (ID: None),Unknown
DMM GAMES,Japan,2018
DiGination,Unknown (ID: None),Unknown
Mitchell Corporation,Unknown (ID: None),Unknown
Cyanide Studio,France,2000
Dimension Interactive,United States of America,Unknown
Random Games,Unknown (ID: None),Unknown
Little Orbit,United Kingdom of Great Britain and Northern Ireland,Unknown
FuRyu,Japan,2007
Digital Images,Unknown (ID: None),Unknown
Coderus,Unknown (ID: None),Unknown
"Asylum Entertainment Ltd.,",Unknown (ID: None),Unknown
inXile Entertainment,United States of America,2002
2015,United States of America,1997
Tornado Studios,United States of America,Unknown
Stainless Games,United Kingdom of Great Britain and Northern Ireland,1993
Pocket Games,Hungary,Unknown
ZootFly,Slovenia,2002
Blue Byte,Germany,1988
Ocean,Unknown (ID: None),Unknown
Xing,Japan,2000
Gungho Games,Unknown (ID: None),Unknown
U.S. Army,Unknown (ID: None),Unknown
Collision Studios,United States of America,Unknown
Black Bean Games,Unknown (ID: None),Unknown
Data Design Interactive,Unknown (ID: None),Unknown
WayForward,United States of America,1990
Skybound Games,United States of America,2010
Handheld Games,Unknown (ID: None),Unknown
Nihon Falcom,Japan,1981
Joyoland,Unknown (ID: None),Unknown
Metro Corporation,Unknown (ID: None),Unknown
BreakAway Games,Unknown (ID: None),Unknown
ValuSoft,United States of America,1997
Aurona,Unknown (ID: None),Unknown
Flight-Plan,Unknown (ID: None),Unknown
Felistella,Unknown (ID: None),Unknown
Skip Ltd.,Unknown (ID: None),Unknown
Independent Arts Software,Germany,1990
Lucky Chicken Games,Unknown (ID: None),Unknown
h.a.n.d. Inc.,Unknown (ID: None),Unknown
Sammy Corporation,Japan,1975
Iguana Entertainment UK,Unknown (ID: None),Unknown
Destineer Publishing Corp.,Unknown (ID: None),Unknown
cerasus.media,Germany,Unknown
Awem Studio,Belarus,2002
iWin,United States of America,2001
K/O Paper Products,Unknown (ID: None),Unknown
CBS Studios,Unknown (ID: None),Unknown
Bad Robot Interactive,United States of America,Unknown
Nautilus,Unknown (ID: None),Unknown
Aruze,Unknown (ID: None),Unknown
Abstraction Games,"Netherlands, Kingdom of the",2007
Sugar and Rockets,Unknown (ID: None),Unknown
King of the Jungle,Sweden,1995
Spiders,France,2008
Oxygen Interactive Software,United Kingdom of Great Britain and Northern Ireland,2001
Red Ant Enterprises,Unknown (ID: None),Unknown
Mere Mortals,United Kingdom of Great Britain and Northern Ireland,1999
Surge,United States of America,2008
Revolution Software,United Kingdom of Great Britain and Northern Ireland,1990
Snowball Studios,Unknown (ID: None),Unknown
"D3Publisher of America, Inc.",Unknown (ID: None),Unknown
Blue Shift Inc,Unknown (ID: None),Unknown
Exile Interactive,Unknown (ID: None),Unknown
Bergsala Lightweight,Unknown (ID: None),Unknown
CokeM Interactive,Unknown (ID: None),Unknown
Sega Amusements International,United Kingdom of Great Britain and Northern Ireland,1983
QVS International,Unknown (ID: None),Unknown
CyberFront Korea,Unknown (ID: None),Unknown
Gusto Games,Unknown (ID: None),Unknown
Magic Pixel Games,Unknown (ID: None),Unknown
DreamCatcher Interactive,Canada,1996
Fall Line Studios,Unknown (ID: None),Unknown
The Omni Group,Unknown (ID: None),Unknown
Takara Tomy,Japan,2006
Seibu Kaihatsu,Unknown (ID: None),Unknown
Nihon System,Japan,1986
"Marvelous USA, Inc.",Unknown (ID: None),Unknown
Megatoon Studios,Unknown (ID: None),Unknown
Bits Studios,Unknown (ID: None),Unknown
Piranha Bytes,Germany,1997
Uber Entertainment,United States of America,2008
Gunfire Games,United States of America,2014
Comcept,Japan,Unknown
Ntreev Soft,Unknown (ID: None),Unknown
CLICK Entertainment,Unknown (ID: None),Unknown
Monumental Games,Unknown (ID: None),Unknown
Dream on Studio,Unknown (ID: None),Unknown
Virgin Play,Unknown (ID: None),Unknown
Career Soft,Japan,1996
Virtucraft Studios,Unknown (ID: None),Unknown
Pseudo Interactive,Unknown (ID: None),Unknown
Rhino Studios,Unknown (ID: None),Unknown
Konami Computer Entertainment Osaka,Japan,1995
Jumpin' Jack Software,Unknown (ID: None),Unknown
C's ware,Unknown (ID: None),Unknown
Blitz Games Studios,Unknown (ID: None),Unknown
Yoostar Entertainment Group,Unknown (ID: None),Unknown
Digital Fiction,Unknown (ID: None),Unknown
MASA Group,Unknown (ID: None),Unknown
Koei Tecmo America Corporation,United States of America,2010
Koei Tecmo Europe,United Kingdom of Great Britain and Northern Ireland,2009
Swordfish Studios,United Kingdom of Great Britain and Northern Ireland,2002
ThatGameCompany,United States of America,2006
Pioneer LDC,Japan,1989
HAMSTER,Japan,1999
Chillingo,Unknown (ID: None),Unknown
Hasbro,United States of America,1923
Deep Silver Vienna,Unknown (ID: None),Unknown
"Gunnar Games, Inc.",Unknown (ID: None),Unknown
Undead Labs,United States of America,2009
Midnight City,United States of America,Unknown
2XL Games,United States of America,Unknown
Legend Entertainment,United States of America,1989
NAMCO BANDAI Games Inc.,Unknown (ID: None),Unknown
Brasoft Produtos de Informática,Unknown (ID: None),Unknown
Syfy Kids,Unknown (ID: None),Unknown
Jellyvision Games,United States of America,2008
Jackbox Games,United States of America,2011
"Creat Studios, Inc.",Unknown (ID: None),1990
BongFish,Austria,2007
Production I.G,Unknown (ID: None),Unknown
Disruptive Games,United States of America,Unknown
Alpha Unit Corporation,Japan,1995
A.I,Unknown (ID: None),Unknown
Nelvana,Unknown (ID: None),Unknown
PlayFirst,United States of America,2004
Glu Mobile,United States of America,2001
ImagineEngline,Unknown (ID: None),Unknown
CCP Games,Iceland,1997
Major A,Unknown (ID: None),Unknown
D2C Games,Unknown (ID: None),Unknown
Bones,Unknown (ID: None),Unknown
Floodgate Entertainment,Unknown (ID: None),Unknown
Widescreen Games,Unknown (ID: None),Unknown
Million,Unknown (ID: None),Unknown
Shokwave,Unknown (ID: None),Unknown
Namco Bandai Games Europe S.A.S.,Unknown (ID: None),Unknown
Nude Maker,Japan,Unknown
Sarbakan,Unknown (ID: None),Unknown
Hyper-Devbox Japan,Unknown (ID: None),Unknown
Zono Inc.,Unknown (ID: None),Unknown
Supersonic Software,Unknown (ID: None),Unknown
Cyberlore Studios,United States of America,1992
Arush Entertainment,Unknown (ID: None),Unknown
Groove Games,Unknown (ID: None),Unknown
Examu,Japan,1999
Laughing Jackal,Unknown (ID: None),Unknown
MC2 France,France,Unknown
Reef Entertainment,Unknown (ID: None),Unknown
MC2-Microïds,Unknown (ID: None),Unknown
5pb.,Japan,2005
JAST USA,United States of America,1996
MAGES.,Japan,2011
NITRO PLUS,Japan,2000
RFX Interactive,France,Unknown
Pawapuro Production,Unknown (ID: None),Unknown
ITL,Unknown (ID: None),Unknown
NK System,Unknown (ID: None),Unknown
Interplay Productions,United States of America,1983
Parallax Software,Unknown (ID: None),1993
Liquid Entertainment,United States of America,1999
Nordcurrent,Lithuania,2002
Phoenix Games Studios,Unknown (ID: None),Unknown
Daoka,Unknown (ID: None),Unknown
"SSI (Strategic Simulations, Inc.)",United States of America,1979
Project Just,Unknown (ID: None),Unknown
SNK Playmore USA,Unknown (ID: None),Unknown
Trickster Games,Unknown (ID: None),Unknown
CTW Software Group,Unknown (ID: None),Unknown
Vic Tokai,Japan,1977
Dream Factory,Unknown (ID: None),Unknown
Media Rings,Unknown (ID: None),Unknown
O-Games,Unknown (ID: None),Unknown
Most Wanted Entertainment,Unknown (ID: None),Unknown
Santa Cruz games,Unknown (ID: None),Unknown
Backbone Emeryville,Unknown (ID: None),Unknown
Spielkind,Germany,7
bitComposer Interactive,Unknown (ID: None),Unknown
BottleRocket Entertainment,Unknown (ID: None),Unknown
